gu,name,desc,directions,img,lat,lon,gu_en,name_en,gu_zh-CN,name_zh-CN,gu_ja,name_ja,gu_es,name_es,gu_ar,name_ar,gu_ru,name_ru,themes,duration_hours,cost_rank,indoor,night_ok,best_time,styles,situations,journeys
종로구,광장시장,"1905년 개설된 서울의 대표 전통시장 중 하나로, 원단·의류 상가와 함께 빈대떡·마약김밥·육회 등 먹거리로 널리 알려져 있다. 관광객이 많은 먹자골목뿐 아니라 시장 안쪽의 생활 상권까지 둘러보면 오래된 도심 시장의 규모와 분위기를 더 잘 느낄 수 있다.",1호선 종로5가역 8번 출구에서 약 3~5분 걸으면 시장 동문 쪽에 닿는다. 2·5호선 을지로4가역에서도 약 5~10분 도보로 접근할 수 있다.,https://upload.wikimedia.org/wikipedia/commons/f/fd/Gwangjang_Market.JPG,37.57005529646949,126.99894728223626,Jongno-gu,Gwangjang Market,钟路区,广藏市场,鍾路区,広場市場,Jongno-gu,Mercado de Gwangjang,جونغنو غو,سوق غوانغجانغ,Чонно-гу,Рынок Кванджанг,food|shopping|trendy,2.0,0,True,True,anytime,solo|couple|friends|family,rainy|indoor|hot|night,seoul_bite|seoul_now
종로구,낙산공원,"서울 한양도성의 성곽길과 도심 전망을 함께 즐길 수 있는 언덕 공원이다. 대학로에서 성곽을 따라 오르면 남산과 도심 빌딩이 펼쳐지고, 해질 무렵과 야간에는 성벽 조명이 더해져 산책·야경 명소로 인기가 높다.",4호선 혜화역 2번 출구에서 대학로·낙산길 방향으로 약 15~20분 오르막을 걷는다. 이화벽화마을을 거쳐 성곽길로 올라가는 동선도 가능하다.,https://upload.wikimedia.org/wikipedia/commons/4/46/KOCIS_Korea_Seoul_Fortress_20130924_11_(9910956885).jpg,37.58056966858,127.007521763748,Jongno-gu,Naksan Park,钟路区,骆山公园,鍾路区,ナクサン公園,Jongno-gu,Parque Naksan,جونغنو غو,ناكسان بارك,Чонно-гу,Наксан Парк,night_seoul|nature|photo,2.0,0,False,True,evening,solo|couple|friends|family,night|hot,han_river_night|mountain_city
종로구,이화벽화마을,"낙산 기슭의 주거 골목에 벽화와 소규모 예술작품이 더해지며 알려진 마을이다. 작품은 교체되거나 사라질 수 있고 실제 주민이 사는 지역이므로, 사진 촬영과 골목 산책 시 소음·사생활 침해를 피하는 것이 중요하다.",4호선 혜화역 2번 출구에서 이화동 방향으로 약 10~15분 걸으면 마을 골목에 들어선다. 경사가 있고 주거 골목이 복잡해 지도상 '이화마을' 중심 지점을 찍고 이동하는 것이 편하다.,https://upload.wikimedia.org/wikipedia/commons/f/f2/%EC%9D%B4%ED%99%94%EB%8F%99_%EB%B2%BD%ED%99%94%EB%A7%88%EC%9D%84_01.jpg,37.577975732883786,127.00710150317953,Jongno-gu,Ihwa Mural Village,钟路区,梨花壁画村,鍾路区,梨花壁画村,Jongno-gu,Pueblo Mural de Ihwa,جونغنو غو,قرية ايهوا الجدارية,Чонно-гу,Деревня фресок Ихва,trendy|photo,1.5,0,False,False,afternoon,solo|couple|friends,,alley_temperature
종로구,조계사,"대한불교조계종의 총본산으로, 서울 도심 한가운데에서 전통 사찰의 분위기를 느낄 수 있는 곳이다. 대웅전과 오래된 회화나무·백송, 연등이 어우러지며 부처님오신날 전후에는 특히 화려한 장엄을 볼 수 있다.",1호선 종각역 2번 출구에서 우정국로를 따라 약 5분 걸으면 조계사 일주문에 도착한다. 3호선 안국역에서도 인사동을 지나 도보 약 10분 정도다.,"https://upload.wikimedia.org/wikipedia/commons/d/de/Seoul,_Jongno_%26_Jogyesa_Temple_(%EC%A1%B0%EA%B3%84%EC%82%AC)_(15239725280).jpg",37.57395881968132,126.98185608504004,Jongno-gu,Jogyesa Temple,钟路区,曹溪寺,鍾路区,曹渓寺,Jongno-gu,Templo Jogyesa,جونغنو غو,معبد جوجيسا,Чонно-гу,Храм Джогеса,traditional|photo,1.0,0,False,False,morning,solo|couple|friends|family,,royal_seoul
중구,덕수궁,"대한제국의 역사가 짙게 남은 궁궐로, 전통 전각과 석조전 같은 서양식 건축이 한 공간에 공존한다. 대한문에서 시작해 중화전·석조전·정관헌을 둘러본 뒤 돌담길과 정동 일대를 함께 걸으면 근대 서울의 변화상을 이해하기 좋다.",1·2호선 시청역 2번 출구에서 나오면 대한문이 바로 보인다. 정동길·서울시립미술관과 연계하려면 궁 관람 뒤 돌담길 방향으로 이동하면 된다.,https://upload.wikimedia.org/wikipedia/commons/3/35/%EB%8D%95%EC%88%98%EA%B6%81.jpg,37.5655638710672,126.974894754989,Jung-gu,Deoksugung Palace,中区,德寿宫,中区,徳寿宮,Jung-gu,Palacio Deoksugung,جونغ غو,قصر دوكسوغونغ,Юнг-гу,Дворец Токсугун,traditional|night_seoul|photo,2.0,1,False,True,evening,solo|couple|friends|family,night,royal_seoul
중구,남산서울타워,"남산 정상부에 자리한 서울의 대표 전망 명소로, 전망대에서 도심과 한강, 산 능선을 360도로 조망할 수 있다. 케이블카·순환버스·도보 등 여러 방식으로 오를 수 있으며, 해질 무렵부터 야간까지 도시 불빛을 보기 좋다.",4호선 명동역 3번 출구에서 남산오르미·케이블카 승강장까지 약 10~15분 걷고 케이블카를 이용할 수 있다. 또는 충무로·동대입구 일대에서 남산 순환버스를 이용해 정상부로 접근할 수 있다.,https://upload.wikimedia.org/wikipedia/commons/b/ba/Seoul_Tower_(4394893276).jpg,37.55127433407266,126.9882079935398,Jung-gu,Namsan Seoul Tower,中区,南山首尔塔,中区,南山ソウルタワー,Jung-gu,Torre Namsan Seúl,جونغ غو,برج نامسان سيول,Юнг-гу,Намсан Сеульская башня,night_seoul|photo,2.0,1,True,True,anytime,solo|couple|friends|family,rainy|indoor|hot|night,han_river_night|mountain_city
중구,명동성당,"1898년 완공된 한국 천주교의 상징적 성당으로, 고딕 양식의 붉은 벽돌 외관과 높은 첨탑이 명동 도심에서 뚜렷한 존재감을 보인다. 성당 내부는 종교시설인 만큼 미사와 기도 시간을 존중해 조용히 관람하는 것이 좋다.",4호선 명동역 8번 출구에서 명동길을 따라 약 5~10분 걸으면 성당 입구가 나온다. 2호선 을지로입구역에서도 명동 중심거리를 지나 도보 접근이 가능하다.,https://upload.wikimedia.org/wikipedia/commons/9/93/Myeongdongchurch2025.jpg,37.56318453011765,126.98735609674073,Jung-gu,Myeongdong Cathedral,中区,明洞天主教堂,中区,明洞大聖堂,Jung-gu,Catedral de Myeongdong,جونغ غو,كاتدرائية ميونج دونج,Юнг-гу,Собор Мёндон,traditional|photo,1.0,0,True,True,anytime,solo|couple|friends|family,rainy|indoor|hot|night,royal_seoul
중구,남대문시장,"숭례문 인근에 형성된 대규모 전통시장으로, 의류·주방용품·안경·수입품·식품 등 다양한 품목을 골목별로 만날 수 있다. 갈치조림·칼국수 같은 먹거리 골목도 유명해 쇼핑과 식사를 한 번에 즐기기 좋다.",4호선 회현역 5번 출구에서 나오면 남대문시장 중심 상권과 바로 이어진다. 숭례문 쪽에서 시작해 시장 안쪽 먹거리 골목으로 들어가는 동선도 편하다.,"https://staticmap.openstreetmap.de/staticmap.php?center=37.55918176072071,126.9776267740439&zoom=16&size=800x500&markers=37.55918176072071,126.9776267740439,red-pushpin",37.55918176072071,126.9776267740439,Jung-gu,Namdaemun Market,中区,南大门市场,中区,南大門市場,Jung-gu,Mercado Namdaemun,جونغ غو,سوق نامدايمون,Юнг-гу,Рынок Намдэмун,food|shopping|traditional,2.0,0,True,True,anytime,solo|couple|friends|family,rainy|indoor|hot|night,royal_seoul|seoul_bite
중구,동대문디자인플라자(DDP),"자하 하디드의 설계로 완성된 대형 복합문화공간으로, 유선형의 금속 외관과 넓은 공공공간 자체가 대표적인 볼거리다. 전시·행사·디자인숍·패션 상권을 함께 즐길 수 있고, 야간에는 외관 조명과 동대문 일대의 분위기가 특히 인상적이다.",2·4·5호선 동대문역사문화공원역 1번 출구 등 여러 출구가 DDP와 직접 연결된다. 지하 안내판에서 'DDP' 표기를 따라 이동하면 날씨 영향을 적게 받고 접근할 수 있다.,"https://upload.wikimedia.org/wikipedia/commons/c/c9/20240601_144028_Dongdaemun_Design_Plaza,_Seoul_08.jpg",37.5671843130818,127.009911013917,Jung-gu,Dongdaemun Design Plaza (DDP),中区,东大门设计广场 (DDP),中区,東大門デザインプラザ（DDP）,Jung-gu,Plaza de diseño de Dongdaemun (DDP),جونغ غو,دونغ ديمون ديزاين بلازا (DDP),Юнг-гу,Тондэмун Дизайн Плаза (DDP),kculture|night_seoul|trendy|shopping|photo,2.5,0,True,True,anytime,solo|couple|friends|family,rainy|indoor|hot|night,seoul_now|art_city
중구,남산골한옥마을,"남산 북쪽 기슭에 전통 한옥을 옮겨 조성한 문화공간으로, 조선시대 양반가와 민가의 구조를 비교해 볼 수 있다. 전통정원과 천우각, 다양한 체험·공연 프로그램이 있어 남산 산책과 함께 한국 전통생활문화를 접하기 좋다.",3·4호선 충무로역 3·4번 출구에서 약 5분 걸으면 남산골한옥마을 정문에 도착한다. 남산서울타워와 연계할 경우 마을 관람 후 남산 방향으로 이동할 수 있다.,https://upload.wikimedia.org/wikipedia/commons/b/ba/%EB%82%A8%EC%82%B0%EA%B3%A8_%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84.jpg,37.55954236008625,126.99473828260912,Jung-gu,Namsangol Hanok Village,中区,南山谷韩屋村,中区,南山ゴール韓屋村,Jung-gu,Aldea Hanok de Namsangol,جونغ غو,قرية نامسانجول هانوك,Юнг-гу,Деревня Намсангол Ханок,traditional|nature|photo,2.0,0,False,False,morning,solo|couple|friends|family,hot,royal_seoul|mountain_city
중구,숭례문,"서울 도성의 남쪽 정문이자 국보로 지정된 조선시대 성문이다. 현재는 주변이 개방된 도심 문화유산 공간으로 정비되어 있어, 남대문시장·서울역·서울로7017을 잇는 짧은 도보 코스의 출발점으로 좋다.",1·4호선 서울역에서 4번 출구 쪽으로 나와 남대문 방향으로 약 10분 걸으면 숭례문에 도착한다. 회현역 5번 출구에서는 남대문시장을 지나 더 가깝게 접근할 수 있다.,https://upload.wikimedia.org/wikipedia/commons/5/5d/Sungryemun_of_seoul.jpg,37.5600030088843,126.975313124237,Jung-gu,Sungnyemun Gate,中区,崇礼门,中区,崇礼門,Jung-gu,Puerta Sungnyemun,جونغ غو,بوابة سونغنييمون,Юнг-гу,Ворота Сунгнемун,traditional|night_seoul|photo,1.0,0,False,True,evening,solo|couple|friends|family,night,royal_seoul
중구,서울로7017,"옛 서울역 고가도로를 보행길과 공중정원으로 재생한 도시재생 공간이다. 서울역에서 남대문시장·회현동 쪽으로 이어지며, 도심 건축과 철도 풍경을 색다른 높이에서 볼 수 있어 이동 자체를 산책으로 즐기기 좋다.",1·4호선·공항철도·경의중앙선 서울역에서 2번 출구 또는 서울역 광장 쪽 연결로를 이용한다. 보행길은 서울역 주변에서 남대문·회현 방향으로 이어져 있어 표지판을 따라 진입하면 된다.,https://upload.wikimedia.org/wikipedia/commons/1/1d/Seoullo_7017_01.jpg,37.55710902701912,126.97541367376364,Jung-gu,Seoullo 7017,中区,首尔路7017,中区,ソウル路7017,Jung-gu,Seúl 7017,جونغ غو,سيولو 7017,Юнг-гу,Сеулло 7017,night_seoul|nature|trendy|photo,1.5,0,False,True,evening,solo|couple|friends|family,night|hot,slow_seoul
중구,명동 쇼핑거리,"K-뷰티·패션·면세점·음식점이 밀집한 서울의 대표 쇼핑 지역이다. 명동역과 을지로입구역 사이 골목에 브랜드 매장과 노점이 촘촘히 이어지며, 명동성당·남산과 묶어 반나절 코스로 돌아보기 좋다.",4호선 명동역 5~10번 출구로 나오면 메인 쇼핑 골목과 바로 연결된다. 을지로입구역 5·6번 출구 쪽에서 롯데백화점 방향으로 들어와 반대편에서 걷는 방법도 편하다.,https://upload.wikimedia.org/wikipedia/commons/3/32/%EB%AA%85%EB%8F%998%EA%B8%B8_%EA%B1%B0%EB%A6%AC_(2020.03).jpg,,,Jung-gu,Myeongdong Shopping Street,中区,明洞购物街,中区,明洞商店街,Jung-gu,Calle comercial Myeongdong,جونغ غو,شارع ميونج دونج للتسوق,Юнг-гу,Торговая улица Мёндон,food|night_seoul|trendy|shopping,2.5,0,False,True,evening,solo|couple|friends,night,seoul_bite|seoul_now
중구,정동길,"덕수궁 돌담길을 따라 근대 건축과 문화시설이 이어지는 서울의 대표 산책길이다. 정동제일교회·배재학당 역사박물관·서울시립미술관 등과 가깝고, 조용한 골목 분위기 속에서 개항기와 대한제국기의 흔적을 살펴보기 좋다.",1·2호선 시청역 12번 출구에서 덕수궁 돌담길을 따라 약 3~5분 걸으면 정동길 중심 구간에 들어선다. 서울시립미술관·정동제일교회를 차례로 연결하기 좋다.,"https://upload.wikimedia.org/wikipedia/commons/4/48/Jeongdong-gil_(%EC%A0%95%EB%8F%99%EA%B8%B8),_One_of_the_most_popular_pedestrian_alleys_in_Seoul_by_the_lovers.jpg",37.5658589281598,126.972775755916,Jung-gu,Jeongdong-gil,中区,贞洞路,中区,チョン・ドンギル,Jung-gu,Jeongdong-gil,جونغ غو,جيونج دونج جيل,Юнг-гу,Чондон-гиль,traditional|nature|trendy|photo,1.5,0,False,False,afternoon,solo|couple|friends,hot,royal_seoul|alley_temperature|slow_seoul
용산구,국립중앙박물관,"한국의 역사·미술·고고 유물을 폭넓게 소장한 국내 대표 박물관으로, 상설전시만으로도 선사시대부터 조선·아시아 미술까지 큰 흐름을 볼 수 있다. 넓은 야외정원과 용산가족공원이 이어져 있어 전시 관람과 산책을 함께 계획하기 좋다.",4호선·경의중앙선 이촌역 2번 출구에서 '박물관 나들길' 안내를 따라 이동하면 국립중앙박물관 부지로 연결된다. 역사에서 박물관 입구까지 약 10분 정도 잡으면 여유롭다.,"https://staticmap.openstreetmap.de/staticmap.php?center=37.52392249364415,126.98018716127058&zoom=16&size=800x500&markers=37.52392249364415,126.98018716127058,red-pushpin",37.52392249364415,126.98018716127058,Yongsan-gu,National Museum of Korea,용산구,韩国国立中央博物馆,龍山区,国立中央博物館,Yongsan-gu,Museo Nacional de Corea,يونجسان غو,المتحف الوطني الكوري,Ёнсан-гу,Национальный музей Кореи,traditional|kculture,4.0,0,True,False,anytime,solo|couple|friends|family,rainy|indoor|hot,royal_seoul|seoul_now|art_city
용산구,이태원 관광특구,"세계 각국의 음식점과 바, 상점이 모여 있는 서울의 대표적인 다문화 상권이다. 이태원역을 중심으로 해밀톤호텔 뒤편 골목과 경리단길·한남동 방향까지 분위기가 크게 달라지므로 취향에 따라 구역을 나눠 둘러보는 재미가 있다.","6호선 이태원역 1~4번 출구 일대가 관광특구 중심이다. 음식점과 상점이 넓게 퍼져 있으므로 해밀톤호텔 뒤편, 경리단길, 한남동 중 보고 싶은 구역에 맞춰 출구를 선택하면 된다.",https://upload.wikimedia.org/wikipedia/commons/4/41/Korea-Seoul-Itaewon-Seoul_Central_Mosque-01.jpg,37.5349073364554,126.997388675434,Yongsan-gu,Itaewon Special Tourist Zone,용산구,梨泰院旅游特区,龍山区,梨泰院観光特区,Yongsan-gu,Zona turística especial de Itaewon,يونجسان غو,منطقة إتايوان السياحية الخاصة,Ёнсан-гу,Особая туристическая зона Итэвон,food|night_seoul|trendy|shopping,3.0,0,False,True,evening,solo|couple|friends,night,seoul_bite|seoul_now
용산구,용산가족공원,"국립중앙박물관 북쪽에 자리한 넓은 녹지공원으로, 잔디밭·연못·산책로가 있어 도심에서 비교적 여유롭게 쉬기 좋다. 박물관 관람 전후나 이촌동 산책과 함께 묶기 좋은 가족형 휴식 공간이다.",4호선·경의중앙선 이촌역 2번 출구에서 국립중앙박물관 방향으로 약 10~15분 걸으면 공원에 닿는다. 박물관 야외정원과 연결해 이동하기 쉽다.,"https://staticmap.openstreetmap.de/staticmap.php?center=37.52186591898916,126.9828336430597&zoom=16&size=800x500&markers=37.52186591898916,126.9828336430597,red-pushpin",37.52186591898916,126.9828336430597,Yongsan-gu,Yongsan Family Park,용산구,龙山家庭公园,龍山区,龍山家族公園,Yongsan-gu,Parque familiar Yongsan,يونجسان غو,حديقة يونجسان العائلية,Ёнсан-гу,Семейный парк Ёнсан,nature|photo,2.0,0,False,False,morning,solo|couple|friends|family,hot,slow_seoul
용산구,전쟁기념관,"한국전쟁과 대한민국 군사사를 중심으로 전쟁의 기록과 교훈을 전하는 대형 박물관이다. 실내 전시뿐 아니라 야외에 항공기·전차 등 대형 장비가 전시되어 있어 관람 범위가 넓으며, 충분한 시간을 잡고 방문하는 것이 좋다.",4·6호선 삼각지역 11·12번 출구에서 약 5분 걸으면 전쟁기념관 정문에 도착한다. 1호선 남영역에서도 도보 약 10~15분 정도다.,https://upload.wikimedia.org/wikipedia/commons/b/be/WarMemorialOfKorea.jpg,37.53706844515933,126.9770880207577,Yongsan-gu,war memorial,용산구,战争纪念馆,龍山区,戦争記念館,Yongsan-gu,monumento a los caídos,يونجسان غو,نصب تذكاري للحرب,Ёнсан-гу,военный мемориал,traditional|kculture,3.0,0,True,False,anytime,solo|couple|friends|family,rainy|indoor|hot,royal_seoul|seoul_now|art_city
